대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량(AADT),숙박업소(관광지수),상권밀집도(비율),위도,경도,adm_cd2,parcel_300m,parcel_500m,nearest_parcel_m,poi_store_300m,poi_hotel_300m,poi_restaurant_300m
근린생활시설,서울특별시 송파구 송파동 22-2,서울특별시,22724,239718,4,0.03,37.5071565815273,127.108380266787,1120000800.0,762,1941,0.0,14,5,15
근린생활시설,서울특별시 광진구 자양동 7-30,서울특별시,24515,25582,4,0.02,37.54035838115,127.067860113785,1120012500.0,1167,2858,0.0,15,2,15
근린생활시설,서울특별시 강동구 성내동 43-19,서울특별시,23265,25582,45,0.02,37.5363606133598,127.12614297495,1120000500.0,985,3234,0.0,13,8,15
근린생활시설,서울특별시 마포구 동교동 158-24,서울특별시,25611,196415,24,0.1,37.5573920972094,126.922861869295,1144012100.0,850,2595,0.0,15,10,15
근린생활시설,서울특별시 강남구 역삼동 618-16,서울특별시,28327,203917,1,0.03,37.5028236019557,127.027806505105,1120002600.0,616,1580,0.0,9,5,15
근린생활시설,서울특별시 마포구 서교동 358-46,서울특별시,25611,196415,24,0.1,37.5525343651663,126.92216930298,1144012000.0,789,2199,0.0,15,10,14
근린생활시설,서울특별시 종로구 관철동 12-16,서울특별시,3272,25582,42,0.55,37.569071507126,126.986187958664,1111013500.0,965,3102,0.0,15,15,15
근린생활시설,서울특별시 마포구 합정동 366-1,서울특별시,15917,196415,7,0.05,37.5479176331984,126.915084394467,1144012200.0,988,2267,0.0,14,10,14
근린생활시설,서울특별시 강남구 대치동 892,서울특별시,18049,239718,7,0.06,37.505790450051,127.056153218044,1120003600.0,466,1394,0.0,15,6,8
근린생활시설,서울특별시 동작구 노량진동 62-8,서울특별시,31688,113301,10,0.01,37.5133391517032,126.940882968093,1156003500.0,967,2804,0.0,15,3,13
근린생활시설,서울특별시 종로구 계동 146-1,서울특별시,3824,67898,4,0.05,37.5776246939915,126.986554188196,1111014800.0,983,3289,0.0,7,15,15
근린생활시설,서울특별시 중구 명동2가 105,서울특별시,2717,196415,37,0.35,37.5622227210993,126.98245959694,1114012600.0,1098,3087,0.0,15,15,15
근린생활시설,서울특별시 금천구 가산동 544-6,서울특별시,35640,113301,9,0.01,37.4793070919007,126.878030103063,1154510100.0,175,336,0.0,12,1,14
근린생활시설,서울특별시 중구 충무로5가 36-12,서울특별시,7047,25582,81,0.25,37.5633089133083,126.999606454885,,1673,5200,0.0,14,15,15
근린생활시설,서울특별시 종로구 신문로2가 1-348,서울특별시,8377,196415,4,0.12,37.5729403850232,126.968071650173,,845,2232,0.0,2,0,13
근린생활시설,서울특별시 중구 명동2가 54-20,서울특별시,2717,196415,37,0.35,37.5628650094813,126.984144085607,1114012600.0,996,2507,0.0,5,9,15
근린생활시설,서울특별시 강남구 논현동 123,서울특별시,20550,203917,30,0.08,37.5115843443485,127.023669130316,1120003000.0,685,1909,0.0,14,1,15
근린생활시설,서울특별시 강남구 신사동 651-4,서울특별시,19566,25582,14,0.09,37.5231312305699,127.036171114253,1120003100.0,554,1523,0.0,9,0,15
근린생활시설,서울특별시 구로구 구로동 1124-49,서울특별시,21365,113301,3,0.02,37.4849287968436,126.900259403839,1153010200.0,392,1521,0.0,14,8,15
근린생활시설,서울특별시 마포구 합정동 366-3,서울특별시,15917,196415,7,0.05,37.547824514899,126.91477160772,1144012200.0,988,2209,0.0,1,0,4
근린생활시설,서울특별시 강남구 역삼동 831-35,서울특별시,33619,203917,42,0.12,37.4946229149101,127.031053879313,1120002600.0,537,1275,0.0,15,7,15
근린생활시설,서울특별시 서초구 서초동 1363-10,서울특별시,19319,203917,1,0.02,37.4853759279344,127.032197687327,1120004200.0,457,1039,0.0,15,4,15
근린생활시설,서울특별시 강남구 역삼동 614-2,서울특별시,28327,203917,1,0.03,37.5038094453036,127.029082586425,1120002600.0,667,1825,0.0,4,5,9
근린생활시설,서울특별시 강남구 신사동 516-16,서울특별시,14143,203917,9,0.08,37.5183757747048,127.021666157216,1120003100.0,681,1678,0.0,15,6,15
근린생활시설,서울특별시 마포구 서교동 364-2,서울특별시,25611,196415,29,0.1,37.55207780187,126.922675752948,1144012000.0,811,2231,0.0,4,3,14
근린생활시설,서울특별시 강남구 논현동 13-2,서울특별시,25168,203917,3,0.03,37.5161504418919,127.022334809301,1120003000.0,551,1634,0.0,2,2,14
근린생활시설,서울특별시 마포구 서교동 369-1,서울특별시,25611,196415,24,0.1,37.5529819808047,126.920814084173,1144012000.0,817,2185,0.0,5,2,15
근린생활시설,서울특별시 강남구 신사동 554-4,서울특별시,14143,203917,9,0.08,37.5218502442322,127.024331311991,1120003100.0,908,1678,0.0,10,3,15
근린생활시설,서울특별시 강남구 신사동 646-21,서울특별시,23265,25582,4,0.05,37.5255461397417,127.0369069345,1120003100.0,669,1338,0.0,9,2,15
근린생활시설,서울특별시 강남구 청담동 88-37,서울특별시,22903,25582,6,0.06,37.5244422128086,127.04105903821,1120003400.0,605,1510,0.0,8,3,14
공동주택,서울특별시 서초구 방배동 784-14,서울특별시,19000,92146,3,0.02,37.492220424275,126.984150211312,1156004300.0,772,2116,0.0,8,1,15
공동주택,서울특별시 강동구 성내동 501-9,서울특별시,23265,25582,4,0.02,37.5317524694279,127.131410700872,1120000500.0,992,2598,0.0,11,0,15
공동주택,서울특별시 강동구 성내동 447-7,서울특별시,21833,239718,5,0.03,37.52497857473,127.128782071951,1120000500.0,397,1062,0.0,7,1,15
